chrom,chromStart,chromEnd,name,gieStain
1,0,100000,Antarctica,2014
1,100000,200000,Antarctica,2015
1,200000,300000,Antarctica,2016
1,300000,400000,Antarctica,2017
1,400000,500000,Antarctica,2018
1,0,100000,Australia,2014
1,100000,200000,Australia,2015
1,200000,300000,Australia,2016
1,300000,400000,Australia,2017
1,400000,500000,Australia,2018
1,0,100000,China,2014
1,100000,200000,China,2015
1,200000,300000,China,2016
1,300000,400000,China,2017
1,400000,500000,China,2018
1,0,100000,Fiji,2014
1,100000,200000,Fiji,2015
1,200000,300000,Fiji,2016
1,300000,400000,Fiji,2017
1,400000,500000,Fiji,2018
1,0,100000,India,2014
1,100000,200000,India,2015
1,200000,300000,India,2016
1,300000,400000,India,2017
1,400000,500000,India,2018
1,0,100000,Indonesia,2014
1,100000,200000,Indonesia,2015
1,200000,300000,Indonesia,2016
1,300000,400000,Indonesia,2017
1,400000,500000,Indonesia,2018
1,0,100000,Italy,2014
1,100000,200000,Italy,2015
1,200000,300000,Italy,2016
1,300000,400000,Italy,2017
1,400000,500000,Italy,2018
1,0,100000,Madagascar,2014
1,100000,200000,Madagascar,2015
1,200000,300000,Madagascar,2016
1,300000,400000,Madagascar,2017
1,400000,500000,Madagascar,2018
1,0,100000,Papua New Guinea,2014
1,100000,200000,Papua New Guinea,2015
1,200000,300000,Papua New Guinea,2016
1,300000,400000,Papua New Guinea,2017
1,400000,500000,Papua New Guinea,2018
1,0,100000,Peru,2014
1,100000,200000,Peru,2015
1,200000,300000,Peru,2016
1,300000,400000,Peru,2017
1,400000,500000,Peru,2018
1,0,100000,South Africa,2014
1,100000,200000,South Africa,2015
1,200000,300000,South Africa,2016
1,300000,400000,South Africa,2017
1,400000,500000,South Africa,2018
1,0,100000,United Rep. of Tanzania,2014
1,100000,200000,United Rep. of Tanzania,2015
1,200000,300000,United Rep. of Tanzania,2016
1,300000,400000,United Rep. of Tanzania,2017
1,400000,500000,United Rep. of Tanzania,2018
1,0,100000,United States of America,2014
1,100000,200000,United States of America,2015
1,200000,300000,United States of America,2016
1,300000,400000,United States of America,2017
1,400000,500000,United States of America,2018
